"Qty","Value","Device","Package","Parts","Description","DESCRIPTION","MF","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","SPICEPREFIX","SUPPLIER",
"4","","DIODESOD-523","SOD-523","D1, D2, D3, D4","Diode","","","","","","","","",
"1","","MA05-1","MA05-1","SV1","PIN HEADER","","","","unknown","unknown","","","",
"1","","MA06-1","MA06-1","SV2","PIN HEADER","","","","unknown","unknown","","","",
"1","","PINHD-1X1","1X01","JP1","PIN HEADER","","","","","","","","",
"1","","PINHD-1X4","1X04","JP2","PIN HEADER","","","","","","","","",
"1","","PINHD-2X3","2X03","JP3","PIN HEADER","","","","","","","","",
"5","","SJ","SJ","SJ1, SJ2, SJ3, SJ4, SJ5","SMD solder JUMPER","","","","","","","","",
"4","0","R-EU_R0402","R0402","R54, R55, R58, R73","RESISTOR, European symbol","","","","","","","","",
"2","0.01u","C-EUC0402","C0402","C14, C36","CAPACITOR, European symbol","","","","","","","","",
"29","0.1u","C-EUC0402","C0402","C5, C6, C7, C8, C9, C10, C11, C12, C13, C22, C32, C33, C34, C35, C38, C41, C42, C43, C44, C45, C46, C48, C49, C50, C51, C52, C53, C54, C55","CAPACITOR, European symbol","","","","","","","","",
"2","0.33u","C-EUC0603","C0603","C18, C24","CAPACITOR, European symbol","","","","","","","","",
"7","0.47u","C-EUC1206","C1206","C2, C3, C4, C56, C57, C58, C59","CAPACITOR, European symbol","","","","","","","C","",
"9","10k","R-EU_R0402","R0402","R1, R4, R5, R12, R14, R15, R19, R52, R53","RESISTOR, European symbol","","","","","","","","",
"4","10u","C-EUC0402","C0402","C26, C27, C28, C31","CAPACITOR, European symbol","","","","","","","","",
"3","11k","R-EU_R0402","R0402","R28, R45, R49","RESISTOR, European symbol","","","","","","","","",
"4","1k","R-EU_R0402","R0402","R3, R10, R11, R25","RESISTOR, European symbol","","","","","","","","",
"2","2.2u","C-EUC0603","C0603","C19, C25","CAPACITOR, European symbol","","","","","","","","",
"2","2.7k","R-EU_R0402","R0402","R21, R24","RESISTOR, European symbol","","","","","","","","",
"4","200","R-EU_R0402","R0402","R6, R7, R8, R9","RESISTOR, European symbol","","","","","","","","",
"4","20k","R-EU_R0402","R0402","R29, R32, R33, R35","RESISTOR, European symbol","","","","","","","","",
"4","20p","C-EUC0402","C0402","C16, C17, C20, C21","CAPACITOR, European symbol","","","","","","","","",
"2","22k","R-EU_R0402","R0402","R17, R22","RESISTOR, European symbol","","","","","","","","",
"2","3.3k","R-EU_R0402","R0402","R16, R26","RESISTOR, European symbol","","","","","","","","",
"1","3.6k","R-EU_R0402","R0402","R23","RESISTOR, European symbol","","","","","","","","",
"2","3p","C-EUC0402","C0402","C37, C39","CAPACITOR, European symbol","","","","","","","","",
"14","4.7k","R-EU_R0402","R0402","R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72","RESISTOR, European symbol","","","","","","","","",
"2","4.7u","C-EUC1812K","C1812K","C23, C40","CAPACITOR, European symbol","","","","","","","C","",
"4","5.1k","R-EU_R0402","R0402","R30, R31, R34, R36","RESISTOR, European symbol","","","","","","","","",
"3","5.6k","R-EU_R0402","R0402","R13, R37, R38","RESISTOR, European symbol","","","","","","","","",
"9","560","R-EU_R0402","R0402","R41, R44, R46, R47, R48, R50, R51, R56, R57","RESISTOR, European symbol","","","","","","","","",
"3","56k","R-EU_R0402","R0402","R39, R40, R43","RESISTOR, European symbol","","","","","","","","",
"1","6.2k","R-EU_R0402","R0402","R42","RESISTOR, European symbol","","","","","","","","",
"3","6.8k","R-EU_R0402","R0402","R2, R18, R20","RESISTOR, European symbol","","","","","","","","",
"1","7.5k","R-EU_R0402","R0402","R27","RESISTOR, European symbol","","","","","","","","",
"1","AD3422","AD3422","MSOP8","IC3","","","","","","","","","",
"2","AD835","AD835","SO08","IC1, IC2","","","","","","","","","",
"2","AD9834","AD9834","TSSOP20","IC11, IC12","The AD9834 is a 75 MHz low power DDS device capable of producing high performance sine and triangular outputs.","","","","","","","","",
"1","ATMEGA328P-AU","ATMEGA328P-AU","QFP80P900X900X120-32N","ATMEGA328","","8-bit Microcontroller with In-System Programmable Flash","","ATMEGA328P-AU","1715486","14R4631","TQFP-32","","Atmel",
"1","CDRH4D18","CDRH4D18","CDRH4D18","L1","Power Inductor","","","","","","","","",
"5","NJM074V","NJM074V","TSSOP14","IC5, IC6, IC7, IC8, IC14","","","","","","","","","",
"2","NJM2884","NJM2884","SOT89-5","IC9, IC10","","","","","","","","","",
"1","PVZ3A","PVZ3A","PVZ3A","VR1","","","","","","","","","",
"1","SIT8002B","SIT8002B","SOT25","IC13","","","","","","","","","",
